[2025-11-28 09:37:05] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:37:05] INFO: 📊 数据库类型: json
[2025-11-28 09:37:05] INFO: 🔐 环境: development
[2025-11-28 09:37:23] WARN: 登录失败: 用户名或密码错误 (admin)
[2025-11-28 09:50:14] INFO: GET / - 200 (3ms)
[2025-11-28 09:50:19] WARN: POST /2/move - 403 (4ms)
[2025-11-28 09:54:33] INFO: GET / - 200 (7ms)
[2025-11-28 09:54:33] INFO: GET / - 200 (9ms)
[2025-11-28 09:54:33] INFO: GET / - 200 (11ms)
[2025-11-28 09:54:33] INFO: GET /2/files - 200 (15ms)
[2025-11-28 09:54:33] INFO: GET /2/subfolders - 200 (16ms)
[2025-11-28 09:54:38] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 09:54:43] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:54:43] INFO: 📊 数据库类型: json
[2025-11-28 09:54:43] INFO: 🔐 环境: development
[2025-11-28 09:54:48] INFO: GET / - 200 (20ms)
[2025-11-28 09:54:48] INFO: GET / - 200 (28ms)
[2025-11-28 09:54:48] INFO: GET / - 200 (31ms)
[2025-11-28 09:54:48] INFO: GET /2/subfolders - 200 (49ms)
[2025-11-28 09:54:48] INFO: GET /2/files - 200 (44ms)
[2025-11-28 09:54:48] WARN: POST /2/move - 403 (47ms)
[2025-11-28 09:54:54] INFO: GET / - 200 (8ms)
[2025-11-28 09:54:54] INFO: GET / - 200 (13ms)
[2025-11-28 09:54:54] INFO: GET /2/subfolders - 200 (20ms)
[2025-11-28 09:54:54] INFO: GET /2/files - 200 (23ms)
[2025-11-28 09:54:55] INFO: GET / - 200 (3ms)
[2025-11-28 09:54:59] WARN: POST /2/move - 403 (4ms)
[2025-11-28 09:55:12] INFO: GET / - 200 (7ms)
[2025-11-28 09:55:12] INFO: GET / - 200 (8ms)
[2025-11-28 09:55:12] INFO: GET / - 200 (7ms)
[2025-11-28 09:55:12] INFO: GET /2/subfolders - 200 (13ms)
[2025-11-28 09:55:12] INFO: GET /2/files - 200 (16ms)
[2025-11-28 09:55:14] INFO: 删除文件: TNW-2023040102.jpg (文件夹: test)
[2025-11-28 09:55:14] INFO: DELETE /2/file - 200 (10ms)
[2025-11-28 09:55:14] INFO: GET /2/files - 200 (3ms)
[2025-11-28 09:55:17] INFO: 删除文件: TNW-2023040104.jpg (文件夹: test)
[2025-11-28 09:55:17] INFO: DELETE /2/file - 200 (10ms)
[2025-11-28 09:55:17] INFO: GET /2/files - 200 (4ms)
[2025-11-28 09:55:20] INFO: GET / - 200 (3ms)
[2025-11-28 09:55:20] INFO: GET /1/files - 200 (5ms)
[2025-11-28 09:55:20] INFO: GET /1/subfolders - 200 (6ms)
[2025-11-28 09:55:23] INFO: 删除文件夹: ID=2 (所有者: admin)
[2025-11-28 09:55:23] INFO: DELETE /2 - 200 (19ms)
[2025-11-28 09:55:23] INFO: GET /1/subfolders - 200 (2ms)
